wID,Key Generated,Entropy Value,Basis Kind
23,Quantum Key: 9f10db04fe9abfe4716dbd4c512fed9fca05b10ab737ac737c45ec61fd8f0c2739b6cf281919cea17bee55dbdf940fe53bd9c48596e6216cbb7550abd8178450,334071.621841,rect
1,Quantum Key: ec09f5a9b3a217e32f66e4525d70be453851e4468ce21c9ca489a7b17cf47f02c1e27abf27c91b004d4b55b7f2c5ce9379231418687694d3ac0638d735cbdcc9,0.000000,rect
2,Quantum Key: 49b8aaba76263d809f1fb8c610589c0bc21ecc57a386c4df891d7c25d2d86c79f81ab389af98b49f4129faa04f82979c70ac508d3d979f5281715ae27add7431,699186.840874,rect
3,Quantum Key: 3831ac8f9bf5aa4eb3362faa643e9d0469aeff676a2eb557fd1588a2bc4257783e9bb4e799664c23e5dcb2f27e74dc17d2b7a5b1579aa2a946066435dc450d70,470829.786596,circle
4,Quantum Key: 42c5a34622ba8e27bb162949bcb61cd0e65b2685d7bc006ab60e70605c74bd0fdfefd447d38ae6af7b4568b44756ec953263420c0a4635a135f5e498aa84f2e3,271405.794757,ellipse
5,Quantum Key: ada00a2576202a691fdf01b13c324dd9d17304713ea33c2078f284014789eb1444b4452bacf4d446fc1d76ae8c08a9d603683379b2a445e2d0891b6962abb7ba,282853.149641,rect
6,Quantum Key: dd2826257840bad7e99d653005c84c79c8ba3d2641ad08b20cce2644d826405be0d09a61e394758d4ad34d233c9537d2bb9aa9de758e2ae46ce85d6f0c2301d4,235933.858051,circle
7,Quantum Key: 71381af45695f54f474a1ddfecdf6152b59bc3f266151f95457fae5dc77ea975d01fa33dbc72c2a9bea6d7bb95df39c757a715d3746a4fb57c396f3e7ad53750,155085.102066,ellipse
8,Quantum Key: 911c04ed8f39fdc6ded7fa8ce3a8ac0c6582534dab25172a8f691771cd897b59e35afe225f7136d49025291664fa96013714bf6063db7979e9df8b0976f6d3cf,271551.973146,ellipse
9,Quantum Key: 07edad218a7bbc0e8d1ee83ee6b7f7547ccc96850d7302f840beb5d89fb0c4127fdeaa82526917a804cb7c5b0e9bdd929a5cf2646c00718e999b193e3b43a2db,303609.792478,circle
1,Quantum Key: 8639ba5d5ca982f3c28f73cadc756c669af3cd101334364ca83017f8af52fb56d832195643f3a08cc95bd65abb833a371cd7d7b381eb31601d3673183833c249,264722.458145,ellipse
2,Quantum Key: 9a7dd215f269c773ccc19634841199a1986d90f4a99e6d0e946e7b92a26f354026f061dabf59d3414c3a4b667fcb90652923bbb079822b618802661d62418882,437542.561808,circle
3,Quantum Key: 5c1e8c8da906f928c6059cd358bd11358a55b88c7dd0b9bbcfeff1ce88dfbe5358a825cfbb3123b8374cb32ec49caa3005647eab5ee794a894d8d657c9d20df1,302951.943595,rect
4,Quantum Key: 7c78890e4c390d735d3f42079e2e37c47a79e7e9e774b46b91c37b6e791292e4c1ab8ddf6cef1f167379408d68b1544bfb62895947f454611da91ca544594ef0,180424.302012,ellipse
5,Quantum Key: fe5481e6f3880a3e344cd877bde7ae7a346c43ac618930daa8f20da1369be28998ef9e235a07bcfc76fef01aaa07f1d647aab9656da1c734f2c8c0eabb8c6522,417632.319064,circle
6,Quantum Key: c8bacb009807f7282a04807c4bffa7059bf9bee98956eae63dad0315da4c5553f6f99e2bf1f6ca69e9aba05c14e642ffd018c5462ba5f6775059f1296db86854,136221.229270,ellipse
7,Quantum Key: c03892f43bfea4e4d499a8cdc6223f5c2a5c9a2932c322a1d6154a47fcb345aad06c2ab5216aeee1d10df136f231496e4a4617146a10b7454aaf15aaf49ceeab,169970.080445,ellipse
8,Quantum Key: 8caf7ff12597a7211051db4c128c54338c50fd6911da4407a7266b612e271f68b257b63ad0af543da92cee2292d1faf4400a56b97de5c9f00870692c860fe9d4,202841.044655,rect
9,Quantum Key: 526a5d2e1abe2141371c68b4b39f4c41b7bc8dba69a3e45db96082a88aa9a5b23f664ceeff0e3a4b20b447046e9ffa94847dbf0b15a553a1a27a0305854817ef,302174.323539,circle
10,Quantum Key: 83afaaa2f2d846eec0f7a58be7fcd355f4b792b959d78cfa9e87b2623ccae890d05ceddf913436f661ce54bfd9e9729ddd5253c25e3f56e8a50b9697b16623df,109293.242507,ellipse
11,Quantum Key: 32637bc2e9392448f72a92a83307097ce22d0503448fed85a519da1849e35a4b9f62aed7dbeaef468de34493512ffbd415cc273eaac0775e96e34b5fa2099787,513597.199075,circle
12,Quantum Key: afd1151d9cea093905b4769515179f76c1abf859efbbd3883d2004b5bb74ab2a338a922cd841af30be733ad9c2db2f694514dd53f5f9a68b08379eb95bdaabb9,270790.359634,ellipse
13,Quantum Key: 7d90c629b9c6ea70dbd221903ef7bed47009a6d1b6c4a6c7ced1bf090078fbba2a9ca0b46179b9ca5f8ee5cefabd00710db75092d257e56704a355724bdcafbb,87602.391987,ellipse
14,Quantum Key: 40c73fa88049952067519c731af9613797f8861b786a40b11aaf968df692ab7087b98ec539932f36f0bdb50c00cfcfd9fc75a50708fe9a42b57fe5b75d44b52f,670319.796865,rect
15,Quantum Key: b3ae20c370ebc7eb76d525de755a374b180b9d00e3d15828720ab3552dcddad4d8a067768a61f1c596fb8688a0db57185a66cf147b53c9b16d53c100b4779b06,250583.616742,rect
16,Quantum Key: 948e39251dff89498d7fa4cdb03be511ef68eccd9446648068d85e6bf6ce5fab7b4fac9007063ffd44db746384e1fce6c7d5a9f7b7c376002c91071b30528100,342734.570238,rect
17,Quantum Key: d5970a8f5cbb445585e91d126d43825ffa53390d61db7a1eb4e1d4f8e23919847ea46b893191809a93b19cb5a76634b0f4d591898189fe58c1a7abc2621c4b49,548268.715236,circle
18,Quantum Key: 2b5a469d89e00e32bb89f06b21a1b7ea2bfa6c233494e95c2b2c20ea0838258267381655333c78550548644926e36ccf3ff782830e928bf5817fb77b2c6bbbb4,622075.550682,rect
19,Quantum Key: b00bb0ad752d2d23e1d52400f52cd7e0c8ef5486de7ed26319914d107e481a80cf53f2cb2383a558326cd909d7b0873f944b5ea7211b33d615ee02435c8c6cba,209870.112287,ellipse
20,Quantum Key: 6d9206ba89d94490aa8845366cc14b5711a8d3c24a7509c9b042cde0c4a0866730e9cbdafde58b005e06c073a78d006e1d6ee1762cea591fd9bbefead694297e,657864.552376,rect
21,Quantum Key: 247487eaa1f598cb680a099bf4493b840df4dc9dc6139126aee6abeaf511cfc864fb63285ec85f877ad60bc15e179103b78287a392a9e899c1d53d1718410391,278669.734499,ellipse
22,Quantum Key: dc61dded17ee2d1979086ac51c025405f05ff65df431a011343306cd94d067d1e4f62d80d8d2700e985bd80a1ec79d367ff600a05b65d56074d9ca6fb0462916,347420.630621,rect
23,Quantum Key: 959b1c0af9b3c8dee0bd37708e43ebd16d4b9c1da03a1adae5c50cf1117a96cb8201ec19bd7d88141ee38b45b3e96ed3e1d2b53bbef49432f00a63dbe3ee6eef,99022.783122,ellipse
24,Quantum Key: 488df73f5c4118500c7b3c2f6cd04bf1a0dd63f6bec87faf87e2f25c8d3373a6c9b9526e03b2fb9de5d2cfd3ee3b86d21f265cf0345e4e928a99881594f1cf9f,188587.947613,ellipse
25,Quantum Key: 7282d8188d5bcf184f86c7a7183f37435aa71b307045c7b33d4bd24e9dae2a5770ab9b9986149e9db273cf4dca5debd2d1ccb96c6c41b9b807323259d874cd4a,395548.065658,circle
26,Quantum Key: d1911291769b5c6baecc9b16e24f5bbb1a4395925dff219606606b1da9a2e09829ff160eda13fcc7019efdd233da5242cb98abf3553c8139887106e6ef7ca49e,386265.188343,circle
27,Quantum Key: a70aa5d003c969caf74c276fbcac89e6b5e88c7322f5c7b14b6f7070cfd09ad0d32002c0d13bb710a78c394238bb8d57136a86589f86634f6c430542146c402c,205561.404670,circle
28,Quantum Key: bac14a2f3be9cf1ee9be57445bd85ed6f155580cb26da3220e5c8145577eb2e61fd9eaa1162921f83cf58d57713c2bf31a7c0e8ab334ea99f818bab188073008,449545.512193,rect
29,Quantum Key: 31bd0ca525837bec0571500dc39c4c4fd40d8144804bdf8807a553f9d70b0332322e63bd479a798444689da8a22248656fde751c75b4fee2d68691316e25b93d,215636.106553,ellipse
30,Quantum Key: 13cebc9ae703c5c324e37e43176ea4f09bbe6c53d5b75492e5aeb75a6531855e47726e9194c30cdb8c68b37845d692e55ef69ca18a5f3ac42e8052a429e5dfb1,207174.575631,circle
31,Quantum Key: 8895b2625881115f388b4e9f5865f71a7bfeee4cb4b4cae589294906a6d1076eedeb28ee1bdce48a020e1a782a02f6644cd895aaaa1d648182c9c15a8981fa22,272103.477392,ellipse
32,Quantum Key: 4ce690eed7d34a3ef80d525e55ba513ca08263b07805fee4d0d66ae99f416b4c0704e3304800b1de48f76cbcefa39be0cd1c950d351dc31d7d93761325e05364,147162.685602,ellipse
33,Quantum Key: 2fe414c9e08fa41c960d20b0196baaf6f07c5c77929a4b85d1d2f8026316a60b27f5d08c5f1d8f3e7412c8aa9434260cead866b6a83dc42779f58fec9c63fdee,373498.794388,circle
34,Quantum Key: d6af9498698eaacf6bc579a446a6dbfd1e0328e08401e7b95aca981dc72408c07273fd07008ea01ec187167425732faaf0c51ddc5600754bf10352a1551edc30,168561.093635,circle
35,Quantum Key: 86f29c3af4767fc2369537d8abb316df1104904274044bbb8d3c14fb24eae21ab1eb6756d2332b8fed024281e45a08dea32c8597b625dd4cec6d4f3b08368987,273125.163587,rect
36,Quantum Key: f9cfbbf8347b3cf26b374529810bf30a6318697aae0d32f5f0755d3b6244e8e2213016e5afec0e5aeace95f1fd1441cc32bf57c4f288a85d0a608894357a6435,99628.443753,ellipse
37,Quantum Key: f4ba349cc0ca591f5cebc8158e6c62b2642e834c55abf415b94f3901929c4411f4f5157a4b5564054d93c8e0defc81530ff493ad7fdfb5794f048257d30da039,218431.405829,rect
38,Quantum Key: e72f669ccdad94d927c32f0033465b1697c577b559edde93c5ffbb5c95a8b9bca2690e3dac13c7e48d0be7b26cbed66fe9fa05505e0d309e305f92e942b7f082,203392.815850,circle
39,Quantum Key: 4e3a38e046d0d4c1f666e284136de348159325206478e87ea6bcbe10dd1398e4f11421fbe45474cd4806d8a56d020e65401b09b7783f8e4d69250f24e001654c,471519.276163,circle
40,Quantum Key: a5af302fc0f9e20b69442af564d6190263918aa0058156dee3c86fefcac32ee5de61c8440d1db3c907f50343924e6d741097b2e13eb437284a033b872cdefdba,603603.539698,rect
41,Quantum Key: f4ded2558d07f11881602aa90663873d6f10ec3187f5ce692779b143bb5f79169fa847eb1ee54c09a781ec7598f086f6d289216e24e1ae8061c7db6a9297d373,471063.130795,circle
42,Quantum Key: 2622debfc03f116241c1b3529fbd1596997121f4be44e5b789d50a7c357ea2128d9f811ec897b7cdebc7ba7bc4f4d1baefcadc72a1acf84721279de4dabb31c6,175414.697229,ellipse
43,Quantum Key: 0f67bd76639df814b6a9de8face3e69e26e0fc4935c3fb8c8b785774a9a89d1aa8363ff67a083a4efb41e9109b620215d34b0d340d75baf764567541cb89360a,520071.876596,circle
44,Quantum Key: f223019dac43fe230cc66923f8db3b9abdadf62c2402b914638c7e2eeed5de41286a39fc02a2769aecf1a071e001f7ad54fd93dd9fdfd3dc483375097610befa,334568.758887,rect
45,Quantum Key: e64b141bcfe22c4449577c61baef59706777fafe0300197e90666b9dc28020b88c70933fc1a27036f7de0cb38f7df4cdbe34ec41d96c95e1546cd698c723ef1d,472529.884838,rect
46,Quantum Key: c8f60147b39eaee93434383e1c490097fb37501fe1beb79679d99cf322e795f0e10b8c4c573a8e5f977784225453d91f00dc99c73ac5ccdc1d205b31e5251c47,198567.021743,circle
47,Quantum Key: 2277fb4ffbe5aee1ced4c1926710c7ba5fde1f247b61fcada51ed9eb64b08c85610836d710f9a70a22c3a42fa4dd0917f7811880bbc0b12182f42f4754bb4894,455604.850192,rect
48,Quantum Key: 8b3d824d9a34760a8149647af7d3436cbcbda587f6fb6dd5dc1cdb99bb5f169560d4fd267996e5bd7a7b732302dd83f75edd73082fd559e3fcb87f4b57e197f0,696151.097502,rect
49,Quantum Key: 7270751ded55aea22bfb13ff5149fb9783b2828674925cfb986fc150a350e6dc617b44cf52bd5daab99cf9acfa52882ec0935996f97fe528ffb0e64629c79bd7,444165.324598,circle
50,Quantum Key: 2833d84bd0de644db4fabc0c58cbb9df0ae39c78d5fad4b17bace79f3d1c79593711fff4a4049af6ec6286f662e38b357e5403e42bdfbd8ef8f2127cb16e106e,355510.604802,circle
51,Quantum Key: 23185b843b0a74e06b9399158b6f3f9c58690a2b9fefeac070b8de3e2241dd3359821719ac7f534392f36d5d17e4ca5ccda81f659006d5d8b91dbc3942f54312,214719.540901,circle
52,Quantum Key: c54dda24339c6bd5841b7a5134c6fa841e905b5686aab8d238c11c43c6df3b9ec605905dccd54750b6cd9dcd39cf4fbf9a25bc2f796da36fafc3ef9a097fad70,158883.781028,ellipse
53,Quantum Key: cda06fc148483cf675a2802d24b9a5ef5b1fb71d03aa94cfdbd533c9b684a4c47580ad9e39f030f489364495cbd6b02d9cf627e410e604c453af28b6cf4074b3,468138.127624,circle
54,Quantum Key: 8f9f9f91b8e802c09241b67e9b20cafe1f88d420ea2a213927e5ba7f32b5b33ad707085376327d8519ec05ee2219976123d9419fbabe818dbf9f74deb8f4bdbc,204480.868873,rect
55,Quantum Key: f40bd2b6d28d8ece918fd5a9edec88203a4f7ba2e50d4cff1a3f5041011aa227d35d67041ded10b3994294dd069950a048c488e00d54a564b0003afbde45a97e,166591.042360,ellipse
56,Quantum Key: 665c6ec4579790f92c2fba1b2fb609909ed5b3a52aa303551e9d851c5923c9f103339ab09a9e3e9cd15398bdd5c2d224343a56763bb856f788e2bc97235a4739,691804.156040,rect
57,Quantum Key: 8ea3264e573a6d29ec64f7ece6631b093da7dd8ffa1feb6e6443e7f8930983260679d220e1d04e0812219d2762936a13240a3c79f6fa20c644c7e1bf5ff9bf91,355409.795900,rect
58,Quantum Key: d1a3b8e6a7c4572cdfb96fc44d2ebdbd5bb6434f8e87c63a62dc040742ecb2176235549ed66c1db9b943e6ebf839745c42dbe16c6f3792658f3b6ec74913da60,255862.319345,rect
59,Quantum Key: e2c36c1ac3493d1531655e29f3f9376c58955b4fe2b0329f77719a206bf24b14806fbf901b5a1b45179cedaba4b9e1078694efcc975575133bbed533abe77355,147823.748027,ellipse
60,Quantum Key: 0c0bda7ff10bd32fd180d41a53c4277da74537b8c064f103cafa25de05c285a19292e6301892879f952dd5373596c322cb731ad577a4b6c71afb70a0bcb4bd30,292878.870498,circle
61,Quantum Key: 50dcaa6c2089dfa47a4000c65ea686cb8df3cb7f264470fe1cfe2675b0fe1f34ef1228fe5e18678fd77089fe53e6f4933bdfbd5980b5d6baae566a50ca84182b,261887.516122,rect
62,Quantum Key: 35cdf35e8ca31cd2abdaefb7efbf9965436ff4ab1b6667ca77b49aa7d46726fb68fd0cc2450f90683143c0a9e38c83f9f5bfd3207dc580f535bd23efd8d5def1,328208.021550,rect
63,Quantum Key: b6fc4986d8e02b9a9e9f5667a3073123932056b91ba5b0ac349807a5e09110c860d4ab4d824ea074ca775f1230e31b92a081274561ed81867a9aab5d51150cde,216008.656810,ellipse
64,Quantum Key: bf4eecc12e561e33c270ea5a42ec4eca60b6bcf4851bdf2d5e25531275bb48c7e6de96d0c402753ee48e46a138f30a83b7d27bc8e1cff429e2f98ec555e42b3e,163507.698020,circle
65,Quantum Key: 2879532b0e645768d7cfecf46a86c2c08d06303e1b8fbfee679b6c2ab2f92a1815692c058dc6ba7fd1ba085de5554dc2fc20c620ce162d2aca15f5b6f3c05d26,147792.929040,ellipse
66,Quantum Key: 40fd164861ab1c612e36c4920927d4866f4184b03bbae423d662d508cc4db5f925a856af12d22e49b80df1865aab06e2e54baa0294bb062d14dec4b582dbdecc,84051.629769,ellipse
67,Quantum Key: 52809183a9c6a41a9bdaddacef5586fb4c95dddba50e5a6aa95e1208553ee30d7361ebe140ec8f46425b67e40ef7b66ceecfe2e0d7ad98091643dd5081916f84,290580.844750,circle
68,Quantum Key: 5eb469c6c531ce4a87f354c8079c8ffcdc77b6e5fefe05074c7ba5f2ba27b956fea05d5d255bcf71240a7bceaab13a28c9794adbc572985ec0521f939ec77717,675809.030262,rect
69,Quantum Key: 7caae300ca1ea03de8564919a2147a88fb00455a56c64ec1bd3ec19aecd283a4918de75a823fbd98619045a2679cd84acb0558162d016799db836684c695e50a,470816.839074,rect
70,Quantum Key: 750f8d24dbc72e04409776c9a1b23367815fb14a101f866e05b0e157d0dacd667252e02322414331793310d4c3031041f55c55e310e7ceb3345a9cd9eba277af,621717.911658,rect
71,Quantum Key: 9e8ee2c7c6b68e95dc3c8c14388a5be88b178b1417ea63a1796dd64f8ae5ff45566f664f640c7d45b34596ac8c13d2e7fc0250f24b8fae1fcefca52e7f1092de,499402.753477,circle
72,Quantum Key: badc77fb042101e8f7b55398cb9116bf8e34d0fc7ffae4c822f36dc429030e37aa22d09f9d65d1626f8f0581793ccb5db2598c05054af6e3299b20b904b71632,241138.650730,rect
73,Quantum Key: a4c247ee04b08dc2f9742e9d4f787040e52102b710c7352265471f83d0c02db048f2e70f20dd242f0f56b8467db4e5bc19efd53db9a25d2f6df0786c3f57e0f3,561118.566822,rect
74,Quantum Key: e33e7179e096f89fc83bdf7a7a02a1201174a99b1324d46d876e99f4757d496362574de28777194f704bfa10425a0c7a8dfd4db80a209a1cd70d8a3bb30e9579,147489.505333,ellipse
75,Quantum Key: e6eec3e61ab7d6ce1600f0dee1b3eed58a2c681d86a49c792c28c31e587fa0e1ce25c5b8d24b8de1dcd8662690d46c871195add0cbbdbd7dfbb79f3c202558c9,694811.869022,rect
76,Quantum Key: a51c889b2fef52905fc38b7828e9ab74a214d35baba63e3766db2f61bb0f9de59bc53f9700776163b19cd420e99b65ed4740e0a784166047ab8a2bad7d5f52fe,443870.284834,circle
77,Quantum Key: a6a6195d6f5a207523883da57e80e579ce3d26e39f5bf99d71283fc3c0c33c22b48f6785bb8171e0b60857b2dc3096ae053d04e97300baa4cf76cda72f7678e0,122221.964238,ellipse
78,Quantum Key: 775024b94da0e9858f300dd5571c82998ce698a25ffcdff3eb4926c780016336ff40c3e6835f019225508ff7c17224fc903304f781adb18ab3c55181ec01a7b4,164532.377385,ellipse
79,Quantum Key: 42e70c4b0f61661b2bd70b3b1fbbfaab0ffc77b0b5d12ca53dabf4fcd272401d217cef5ecd6fa6f065cb43ae4afddbccfce38d104e19ff9b57257128f4c61ed9,142845.811212,ellipse
80,Quantum Key: 7356315580c7c8b8fed275ca802cd1652bce68792a76905f7e8577eb8912f1c2e0610c5074f9cc3fe54bc487ce3a3f2f6051baa9e363faeae0b5ec7bc8cfef69,256097.693652,circle
81,Quantum Key: c9b33805898b921a72817667182fa9e18c9adceeb3e1ff62e33f6ed38b4804284e701c78811ba9dedbc8869f42bc16429a3ed23f7c73735ca15da0854084fd59,541279.130037,circle
82,Quantum Key: cdaf0f89a6732ae150bad2cebde7cc69b898b9472fa8e88347390b947d306366114abce486db797a4212561ec1664a325ca22cd0128ab8f671ab8392f1ea82dd,244997.971685,rect
83,Quantum Key: 06628ceed97d32fb9be8fe15f984e2e5d0678953d0312ee110eac7f40cbed7fec778cbe4ffa95034fd2f41d0bc71cdb4304709f01cdfb0c069d5e6fc2d0add54,448953.297365,rect
84,Quantum Key: 79b42a0e1fa092c8aab6024c65e672e015aab7084ca85bcfb0b00a7d5b9039f6b553cd91280c2b9debf1dfbfa58d7dc7d8b2bf3195d1597120cfa240121ead16,356099.865852,rect
85,Quantum Key: a0fb5d69ef942ebf2f4213f35c21a6438703d91d67fdabbcaf6388c02145b487267a03a32af1dc711852d1e34633560a0ec336aa9f232888ca7d2e7b779845c2,439286.381157,circle
86,Quantum Key: 7cc7f510f01a004f7fcd08bbd453f034f32706069ad2471dce8ff246727167577336c19deeeaf42d200e88215a5623a2eb35718302afdbc551e2fadfb214efe0,289645.290906,circle
87,Quantum Key: ce9c35352c42c503da857a41ee81a9106400f5b3c7d7c26bd996c440acc5ab4ac48f187d054ec63d5fc980af7d77f694bbf2a1839c49669bc3ec0030d0a77d73,106221.927705,ellipse
88,Quantum Key: 6b4a83110a8a5f330dfe3d51788502032827bbd89336478339eec66dab83bd299ad52d664cd8aee8bcaa260de3022417861f66d7d1120eb1778be4d66e90d7ae,338553.522878,rect
89,Quantum Key: abd3ae3bb99590d02bd21ed9ead8e9543be7a2be186d066a814f90bd563037a347f1ca1569059e9ad82573df9e6adf4acaf8795db21e68855dc2d89c59b60e0c,84652.449698,ellipse
90,Quantum Key: 4d7fc6a5688377cd42db7cc5e264dc1689c3b5fd5a2906bc89eee462e4df954f9faef95eeae73b67863cb3f235aa1f4f4c5ee25f48bb39c0379614a316e2a5b0,403992.565460,rect
91,Quantum Key: 9d9430a9659f4f28bf8ff5a43295e8e62a72091b93000c1fd44a135bed0817dd01db5f355c4862faf4de01663d26d39ade538ecbf96a9876d68be94f6ddc1cdb,244418.612292,ellipse
92,Quantum Key: eb02a3d99b2a392b72fa9315e25eeb27ad77d77249b8861fbdaed75a226b66938aa3a273c8f8c0f6a62e0d8109ea8dc76d0798727d855b047d1c5297de3d3750,323913.257121,rect
93,Quantum Key: 5f00caaaed7bbed2900037e36e31f30779031ce6843b2163307ecbc13c39689651ca6df040090fb2b42f208f48db70b553ad7f83f2e2eed0b0d2095ab2b3dc41,449331.517388,rect
94,Quantum Key: 0984802e088bc5f3f06b51ff377172022cdaa8ff494aeadaea756e3f97d8deb292b7f08344013f4d8dbc365c75770d73054651884a5f86239436dc79808f2a61,638066.042149,rect
95,Quantum Key: 5bcbf68f4b9f01fe7ef100d390bafd306909b2cc7d60cf1ae530c116020042598c4ae323971e8548903c7d653645d638c7437a3622bfa62f66e02752ca1d4616,715090.789600,rect
96,Quantum Key: 1301c17828e792d2e9258c5bce6f0ece5607d7ac026d238fb6bf898620f68b3d1010f7c1787f8dce8392c85523804f4819972d33b1e6d08c99603a993fcec004,131692.198933,ellipse
97,Quantum Key: 0f6b18794febb34e331eaa05b37047ee0a35a36edb780e6abe0d5867f8bb936dcac3d838dff085dd8cc1b94a86f96883dbd7df71e530eb108111a80e53b17fd1,216729.704936,circle
98,Quantum Key: a21ed5aa28ca880f817be23f9fda95e426738fa181ac3f3f693f32d72962c754f2e9c8486bbd2614414b3e338c7c0fb183dddaa6bae958bf0a547bc079c3d69e,349338.507250,circle
99,Quantum Key: c78ed4e7df265a179ef1f89027b2b6c56a3cd396c991faaf30ab0ecd6111dcfb3b5a22e0151ab7faa1babe2fcf49d2be58ad6a91db0eacbcd918e6f8252491e7,428948.409396,rect
100,Quantum Key: 299588a7ae00e8bcfaa413cb3fe2e9f1054da0d26922600e4c7b42db71a413ffd2082f4db4ac7392a20c39f4c80954a85b34629c049606b79c997fa1c4bfef64,192563.711093,ellipse
101,Quantum Key: 5ebdc1803091d4508ca42b807fe287fb9cc5f2690f6f99fc019642b8efdbb1076c7856609f49c4b8763142e53c0873d7b99cdacd6d88384cbb99b6bbbece39e2,113602.930652,ellipse
