ID,Key Generated,Entropy Value,Basis Kind
42,Quantum Key: 6c2993364accaaae24d20eb210e997a5f95758c019cc072551efa2a3ed07a382,Entropy: 1.40 bits,rect,ellipse
43,Quantum Key: 1d10f6fe8cf272f185b5bf8444b9ad0c42ad96a27244df3452204f2dfc0b5d63,Entropy: 1.58 bits,rect,ellipse
44,Quantum Key: 65b5987f1779d18c9a8c2eb202a6a2c23c3177e9343937f5b505183ca7d3df97,Entropy: 1.29 bits,ellipse,rect
45,Quantum Key: efdeb9ff6bc8e9fd67e99b9b5157c9e7df434f4c912127c7b13db1b957b61ea5,Entropy: 1.32 bits,ellipse,rect
46,Quantum Key: 51333bface9a2bd3cb690f89571c609554a93b69df5868b83e0c7ed8c24250f1,Entropy: 1.29 bits,rect,ellipse
47,Quantum Key: e4744aef2697cd37b757b969da9932e51d9019e73d13240b27c5a4cfcd1320de,Entropy: 1.30 bits,rect,rect
48,Quantum Key: 17668f165e08ba337386f2e9ee498584467af450e229d14b9624f7bf714656e7,Entropy: 1.18 bits,ellipse,circle
49,Quantum Key: b816b480c136462c0662672729abe561542d6da4071ff12dd20a86059f5e66a6,Entropy: 1.32 bits,circle,rect
50,Quantum Key: 8fe148ca7ba2006748b4ca0eea699f180317340e60dc80b0d324f61b7592cf84,Entropy: 1.39 bits,ellipse,ellipse
51,Quantum Key: 568f143d68ee658ff8af03fbc9fed3784b287c29a727774f15547174254732d5,Entropy: 1.38 bits,circle,rect
52,Quantum Key: 470056fb3f60e1259a4e7699a80422064609b805d9a1fcf8001d711ad284dacb,Entropy: 1.31 bits,rect,ellipse
53,Quantum Key: 00f262160448a6ce426be6f5fb5ec3ca944218ecb233c3a2d4a866ef297ae1d6,Entropy: 1.39 bits,circle,rect
54,Quantum Key: 120b93ba7bee7032f1097a3bc45c40ed6d79428fa1785b113602c54462296084,Entropy: 1.27 bits,ellipse,circle
55,Quantum Key: 4c4548abfb9463000b189110fe179204c6cea36041a8f0a10d4b4e981715bdea,Entropy: 1.41 bits,rect,ellipse
56,Quantum Key: e3ba47cc92a989641839d77da1ae2829be3d0aca73ae45db7a9b9632ce3f5553,Entropy: 1.33 bits,circle,rect
57,Quantum Key: ce8b00dcadcb5a256eba0962a5085482dcad22a0abf11a799578df256c1e8180,Entropy: 1.25 bits,circle,circle
58,Quantum Key: a5d7bb61af115a613099abf1909515c07e794d3f767426191ca04f3c74612013,Entropy: 1.24 bits,circle,rect
59,Quantum Key: 2aae04d6501816bbc56b2c4e27863f917deb115fb4db934e3e2bf8d86b58ec32,Entropy: 1.36 bits,circle,rect
60,Quantum Key: b54a3c2f8f1c448536a167235364bf064aed2992b481bd84d6ccafa0aa1a425c,Entropy: 1.33 bits,circle,circle
61,Quantum Key: 436af3c45d1c8c1a6415dac882dfd5248de451e246e493238690aa9e99a48746,Entropy: 1.33 bits,ellipse,circle
62,Quantum Key: 3e39829b98e6c4871983a73908f60ad6397d903cb1b0b8d2d13f5dc4c46e6abc,Entropy: 1.25 bits,circle,rect
63,Quantum Key: c77139f08d7ccd2a53276dee3afa21fddf32fa3291df542acdfb4326f8a4eeb0,Entropy: 1.24 bits,circle,circle
64,Quantum Key: bfc4410af49afd48c56accb4994b5faa6132aa3f77814eb9e526ac27f158bcfa,Entropy: 1.34 bits,circle,rect
65,Quantum Key: b4212544c1c669397c9960e175e10d98ea738daf6ef963112bd14c8d2f7f6cee,Entropy: 1.19 bits,ellipse,ellipse
66,Quantum Key: c0c3f14505fa0a734e52974499f7bd4034b0072177e7541a0ee6552750f9e8c8,Entropy: 1.29 bits,ellipse,circle
67,Quantum Key: 3501f6ea4bd9de13ba0c0f458600f98aee15f9445061e60f9c9913bfe4372184,Entropy: 1.26 bits,rect,circle
68,Quantum Key: 8004be3496def78a801289d5cf7ab53afd5b7a8135e8d3b5040abbf6024855f9,Entropy: 1.32 bits,ellipse,ellipse
69,Quantum Key: 85bba426bc4b239e4a3c667671e9744a5342c35f1162581c651dd4a2f1d6b622,Entropy: 1.21 bits,rect,circle
70,Quantum Key: db3dab269a35629fbfcb392036ec1b7fd8ca25d41cf0e32eaf91567ca6bbd6ed,Entropy: 1.13 bits,circle,rect
71,Quantum Key: 99b9623afb13a560b04d93a92e44fc27b09513083cb45b5a403d439703db0cbb,Entropy: 1.27 bits,ellipse,rect
72,Quantum Key: a3b5251917fd471fdd5865babff4eeb9f063caca9227371b257881bb36b54e74,Entropy: 1.12 bits,ellipse,circle
73,Quantum Key: 3f8b82f6d23b4f131d63d7ab66053f7ad3a7da773fbbee591f493e111ab9c2a1,Entropy: 1.30 bits,circle,ellipse
74,Quantum Key: cfd3826f5c80b90190d88697e09b576697ef9902d16737963bab51542aa67d90,Entropy: 1.35 bits,circle,circle
75,Quantum Key: 12458bf37ec07054f00eda5411e3479f2057606dec272002ed7b56b8cf9372e3,Entropy: 1.14 bits,rect,rect
76,Quantum Key: 56dda8f76e7fcd85995f4173233ffaf4e444e43140b2b0b09848b5e4122ff72c,Entropy: 1.22 bits,ellipse,circle
77,Quantum Key: b0a619420f1a9b5694c66a6d2d42856bb53c44b7f49e9d53f77e9ba72678d2f3,Entropy: 1.10 bits,ellipse,rect
78,Quantum Key: 2543b2b49294f8a5209fc5e9184d65ff37d3c0972096f4151bfdb1c78d2483a6,Entropy: 1.20 bits,ellipse,circle
79,Quantum Key: 1fec2bd3121252bcb485085bbd3eb434f25fb3aa80de49446450f15c72e0224d,Entropy: 1.20 bits,rect,circle
80,Quantum Key: 629f4431ea6b0b085c7851ba1b38fcee292b6fce9eb66934b716788062d5602b,Entropy: 1.25 bits,ellipse,ellipse
81,Quantum Key: 67c1cf975b89a086fc20cee74c03bf37889c46541397751b7d1d895295a7cb49,Entropy: 1.18 bits,circle,rect
82,Quantum Key: 97fbd88934f7a490105c8121d57d1018a97c31d4e1d6525efe27f1c0a78f448e,Entropy: 1.50 bits,ellipse,circle
83,Quantum Key: d9554f0eb6a825762a416097a0cb8ea09410b9052e79141800a1cbc077e43bc3,Entropy: 1.26 bits,ellipse,ellipse
84,Quantum Key: b1aa6b1223717352cc8e51ffe44d1f54cfaeddffc34c125fac712e49961f3430,Entropy: 1.24 bits,circle,ellipse
85,Quantum Key: 51b0af11a1c9fcdf6935dfe26fa9f0d73617e300b91c18b06dc37632c774fe4f,Entropy: 1.27 bits,ellipse,ellipse
86,Quantum Key: 4f1ea69a520852acaff93caf883cbedc848762aa5dbb7a5d583404fb6d2a0afe,Entropy: 1.28 bits,ellipse,ellipse
87,Quantum Key: 2325117d3dc1119e4f9b9714276e55b1f4de1fffa5b85e06531b88c159784d97,Entropy: 1.36 bits,rect,circle
88,Quantum Key: 64e915d16cb013d3729b57c610b403f383e9e6065ea067fe83d4f994bc21b4c8,Entropy: 1.18 bits,rect,rect
89,Quantum Key: f679ed1882196de25274d9c096bd4bd64348f379dcb1a84ed9fd2a4ebf00f9b4,Entropy: 1.21 bits,circle,ellipse
90,Quantum Key: 7e9627f91ff03791841f12ee5cf01c8c04a7328d5481fae751da4ad8a8e1b791,Entropy: 1.48 bits,ellipse,circle
91,Quantum Key: fc9bcb803abdd8b3bc671ba1caa0569c3c221d0e161f3156d9d1f933a32d306c,Entropy: 1.26 bits,ellipse,rect
92,Quantum Key: ffb889945a58de518002a8e333c516c991a845f1c2047cfdfdbb76c50d6ad481,Entropy: 1.26 bits,circle,ellipse
93,Quantum Key: 5e74e8780e45c08b3676c74a746ab21da298bb5193613ffd05ed7377121c86ce,Entropy: 1.30 bits,rect,circle
94,Quantum Key: 3633460b148e13af9d83c9dcc74409cda85a7cad197eb0b35887e37821d8b9ca,Entropy: 1.25 bits,rect,ellipse
95,Quantum Key: d87339377ed2bd5412c4e062552319b328fd5d670c0219921b81755c94f6d79e,Entropy: 1.48 bits,rect,rect
96,Quantum Key: b547a6700bdd8854c3ea8c999ac122c7c06f1e2d7992911b570a8aa900bd19a2,Entropy: 1.19 bits,ellipse,ellipse
97,Quantum Key: 4602bef09d633c01eadc5bb299592f3dc8d21f78d6f13c899124a8f8ce62b11a,Entropy: 1.27 bits,circle,rect
98,Quantum Key: bc008f403754d60906a365e83678117449a05a1ea26326c32ea77454760f38ee,Entropy: 1.17 bits,ellipse,circle
99,Quantum Key: 4e02418f67a6e9a0c558daa4506278d7938de07eb5e1fb2fb460faa4e609a400,Entropy: 1.24 bits,rect,ellipse
100,Quantum Key: a78f154d6ae3e9a1f0ada5257c72d260d1ec3fc0566f68794eb38e2cec66bc3d,Entropy: 1.34 bits,rect,ellipse
101,Quantum Key: da0d1d426228f10a1092e6100ac29b7ea4fd9e5fe4c56e13cd4684eabdca82d9,Entropy: 1.14 bits,ellipse,circle
102,Quantum Key: efb5968372ceac1e10edba4a0fc6be3f05204fe2d9289f7f6c626badcc1550c5,Entropy: 1.14 bits,ellipse,circle
103,Quantum Key: 598e166de776790e7b06278ba5e1b04bb5c0d3c228177056221fa59d9a77e5c2,Entropy: 1.29 bits,ellipse,circle
104,Quantum Key: 23c8c57b57a2f7c69a6d1e73e8687e2407c6c7b8d3af69bfd2a23eace2c99973,Entropy: 1.27 bits,circle,rect
105,Quantum Key: 247711ae3e2596d8e84e68809cf4e59cacfdaf114fd353e5a4ef9d6bab404d7b,Entropy: 1.36 bits,ellipse,rect
106,Quantum Key: 136c893808b9d43bef729180707123107c00a1f546fbb75049ff1ae373202e9a,Entropy: 1.29 bits,circle,rect
107,Quantum Key: 2548b7e44be4a44d1623e1bb7c3d61eba6d148aef65bb080ad3abf0000f5eeb7,Entropy: 1.42 bits,rect,circle
108,Quantum Key: fe341da4438e2627c2d4196ded3ac589f977fec1649b037ea8e7da091fb53aa1,Entropy: 1.24 bits,circle,ellipse
109,Quantum Key: 6e472b5497c35f79ae9897b870a12f190f82254fb37fc3f9a9a83219a8ae90c5,Entropy: 1.28 bits,circle,circle
110,Quantum Key: 9924b97a6ab2284c75b6c931ad25ad98765ef84f48f5f759a03df279392344b3,Entropy: 1.20 bits,rect,rect
111,Quantum Key: 294a3b0cc8cc3f742cbe0437e2396a888ac2299b35fd878821e8606e1d122047,Entropy: 1.25 bits,circle,rect
112,Quantum Key: 0c17fc5f2d73de6e12c43e26304f4d2d4435a2136c5ee807d4ac48e853e85520,Entropy: 1.35 bits,rect,circle
113,Quantum Key: a41be0b88f0ea2d9bede32c58f4cb620b1b61c518c82c85087fa91be43fb75a0,Entropy: 1.26 bits,rect,circle
114,Quantum Key: 4cafdeb42578bc0d23f14e45266da4201a1a25cca3d0607b7983cf7b183dbc7a,Entropy: 1.29 bits,ellipse,rect
115,Quantum Key: 4371127df6b950f2c07436431d3d8f1f491d14463ed542294c99b6aa5c71491e,Entropy: 1.29 bits,ellipse,circle
116,Quantum Key: 3211cc7e7d71bc9d35c860a0b227c46352bbb29c3ec88062a23d2237560c5297,Entropy: 1.48 bits,rect,circle
117,Quantum Key: cc26106ebeb27a0be71e5a9cb1109861d2f6593ee76830dce24746d87ca4144e,Entropy: 1.14 bits,circle,rect
118,Quantum Key: 4dc15fd8f5bc3bc29b1b126e8b6f6b5b018fb914c6882c65e7a6516c7c18b112,Entropy: 1.37 bits,rect,circle
119,Quantum Key: 60541b73670e95f0b421be9e5562a4b6113cf07eda0cb771ee9194b36654be21,Entropy: 1.32 bits,circle,ellipse
120,Quantum Key: 8510a89df0cbbb553034cfa9fe03e4d37e1c766f164d8c7eefbbcf83bf2ff206,Entropy: 1.43 bits,ellipse,circle
121,Quantum Key: 771fa10fbcab65fe5f5ae4e6c23c975a79de3a32ce70031133d9540442c20e39,Entropy: 1.21 bits,ellipse,rect
122,Quantum Key: 02c33963f580afae10de019e14f0be50de048c22e279053a718bb9916dd3b701,Entropy: 1.42 bits,ellipse,circle
123,Quantum Key: 3506ccad43ea781efdf8f350b5fa72808019375af830455f2f1674b1a77dff01,Entropy: 1.33 bits,circle,rect
124,Quantum Key: 7e65b6d6b5f3c42024e9fdb3d671c3cd81886cae1beb40311ac9c8416b9d4176,Entropy: 1.19 bits,rect,ellipse
125,Quantum Key: 7c01c8d49ae1311b2dc08c862aedf398fa970e7105649fa22ec9ac99568dda89,Entropy: 1.42 bits,rect,rect
126,Quantum Key: f22ab9698f64d26f06c76d08371749c31a03587151ffe9000df90e7f10e5e7b5,Entropy: 1.17 bits,circle,circle
127,Quantum Key: 9c53fddda79dc24129052e487bcb043af2f9b3f8d4978b9da8f72e89d83029c6,Entropy: 1.27 bits,circle,ellipse
128,Quantum Key: d404256551f950540f871fe7a88e7e2de86adcaa8d22519a9052a2c564aa1249,Entropy: 1.35 bits,ellipse,circle
129,Quantum Key: 7bddaf878713d786b22e5e4942004778e31b0ad3691ea81f8cd944cc547dc23e,Entropy: 1.22 bits,circle,rect
130,Quantum Key: c2ed48f1bb8b33a22c631b739e1941abf75b67de2b0146b417c416af078cd76d,Entropy: 1.33 bits,ellipse,ellipse
131,Quantum Key: b9999f2e0a736a4e1d2e69f82304c43bc9de9f9262faf9ab6f5b094bba2562aa,Entropy: 1.12 bits,ellipse,ellipse
132,Quantum Key: 5ecf65421f32ad6c7abb5262f43626d2b44d3e71d0b507689cde0532fed3046c,Entropy: 1.24 bits,ellipse,circle
133,Quantum Key: ddb528d4849e3c2871a9bf66b9a01b20cb9bbb0da5906e722d1be8f6c1e8dc93,Entropy: 1.28 bits,rect,rect
134,Quantum Key: dcd71e4f0c859a1c5c6031c8b0f46ca7e9bc43d163abc1877b5da3837403222a,Entropy: 1.06 bits,circle,rect
135,Quantum Key: d24aef39474e01f76fda1ff4c0f5b525db9bc75ad3010110c78a72b73612ac0f,Entropy: 1.04 bits,rect,ellipse
136,Quantum Key: d5c19b51a068c0af2f8aab930fd2bd3c25743b38524562cdd481768af2392b23,Entropy: 1.31 bits,rect,circle
137,Quantum Key: 4b23dc28aca165214213a26b625c98b797e51a0ba2514978855d26d497df41cd,Entropy: 1.27 bits,rect,circle
138,Quantum Key: 99fdb6cca59860148ec632c1dd32b74691bcd87ad9912be6792e20871fbd4698,Entropy: 1.21 bits,circle,circle
139,Quantum Key: d69f48d8e5ee72285bbe9083aa5234c8ed384e7349f32b25c6e9d661f0933f7c,Entropy: 1.09 bits,circle,rect
140,Quantum Key: e8ae4a53818ed4f6e8b8bbad7cd10afeddfb779fe856bde5e3474146d063a6aa,Entropy: 1.21 bits,ellipse,circle
141,Quantum Key: 4a2fb6ad90cf7f3bfe552582b990a47921acce0abf0f08a1b3eed504f7c6285b,Entropy: 1.26 bits,rect,rect
142,Quantum Key: 47e7244fa976e7b0848ba37bc82b7050ef620dba7211c82c419446717f2c5c88,Entropy: 1.33 bits,rect,ellipse
143,Quantum Key: d36175a4b9217c622af39894b68019d8680c5859486822f059c3deace8e7dc3a,Entropy: 1.32 bits,rect,ellipse
144,Quantum Key: 4c5c7c216986f2f51619c39a3d161e10bc0d9e14b2210e2e80be2c9482ed2363,Entropy: 1.26 bits,circle,ellipse
145,Quantum Key: ce715ebe2f32ea6b8c95814f63cf761b665c614e4150b10f784fb85a0721c683,Entropy: 1.45 bits,circle,circle
146,Quantum Key: 74f3d50de6b5bb8a40246ce09070788e8f4ee2d242576e66e9e3560b737a6ba5,Entropy: 1.41 bits,circle,ellipse
147,Quantum Key: 515ddc2abf0b7b04c8f36c9196fa9f800bf74ebf3a917f4184c94ad80ff8b8e2,Entropy: 1.27 bits,circle,circle
148,Quantum Key: c9988dbcf5ed410308e8dbdd7e8bf9119b8bf55b1abc95b6439745dfaa0c3ddd,Entropy: 1.37 bits,rect,rect
149,Quantum Key: fa5023916cdacdaa4cf36ef37b2c1ab16c2cbf515e4e926580e7bd3124b1fe8c,Entropy: 1.23 bits,ellipse,circle
150,Quantum Key: 480f15b4fc55bb8c7e9d694d3f032b1495062e181810a6ccbc6ef2a74eacbdb8,Entropy: 1.29 bits,rect,ellipse
151,Quantum Key: 8e2280f7f0b2dc57510537741dd3f630910e213d58243472f71c511feeea1866,Entropy: 1.28 bits,circle,rect
152,Quantum Key: b132903daa1c98fa5c244ba93f547d28a05e570d46285d9374f9b7e96f91a520,Entropy: 1.11 bits,rect,rect
153,Quantum Key: 1164387290b2cebecb25f8fdad58e6bedba9625cc3eac3fd02e7881e64c54181,Entropy: 1.27 bits,circle,rect
154,Quantum Key: c3f837459b61c6bef46da321c93150ef4f5ed49c934da295b76bf4a44387bf70,Entropy: 1.28 bits,circle,ellipse
155,Quantum Key: 8dccbaa2d7aee5da05a5e60b4b9850e722e899dcf24075d9f1ee63f71d5812a1,Entropy: 1.36 bits,circle,rect
156,Quantum Key: d1aa0d4d7abcf6eaa74e361d481255c31152d872dda27ca46cf7fc662578071c,Entropy: 1.23 bits,circle,ellipse
157,Quantum Key: 7e40c978b984fbb0b1b171bcf254fbe9dfa2dca9379da020162d20d637af3094,Entropy: 1.35 bits,circle,ellipse
158,Quantum Key: 04ed31e2e06abfb4cb8edcaee0ff62d6c4686edbfdd4a937c6c1331ff1d5bf05,Entropy: 1.32 bits,rect,circle
159,Quantum Key: 0c95788941a99529851cc29bb4e69c22af0e3d0cf565513b501ebf22e1be5144,Entropy: 1.35 bits,rect,rect
160,Quantum Key: 7da5f9a1c79d2939f55ee2a0e2ad09e51f666e9af6b44ae48809bc6f38d83907,Entropy: 1.16 bits,circle,ellipse
161,Quantum Key: 3913751d1f8aa64a2e2f9108994a78c14c21a49bcfced836d84f5f108a7778ff,Entropy: 1.38 bits,circle,ellipse
162,Quantum Key: e7596feae445e1a42ca97e3aa335e6a936cad6ea1a07a32f8ba41b4c703d1e35,Entropy: 1.35 bits,rect,ellipse
163,Quantum Key: 140413e6c816ea50ddd3891f0d26c348e9d84c6c8d8f5678bd2c9687a093be0e,Entropy: 1.27 bits,circle,ellipse
164,Quantum Key: f3613876d09d2e6513d3c81b652b2d118dfdfb4f8c929dae5106b1bde982bd61,Entropy: 1.21 bits,circle,ellipse
165,Quantum Key: f59af0bce6eeea6c1649b726048cf3e8f21707cfcd686679004023569a3431b0,Entropy: 1.38 bits,rect,rect
166,Quantum Key: cea8c452b22fb2cf9618b6b90643f2a2c12b34fa58fa8b95edd4c3b2bbf177d7,Entropy: 1.35 bits,circle,circle
167,Quantum Key: c56bf12de74a186b46a2d2fc54289dcfdf3e918e327c9f352be2840fa5122393,Entropy: 1.30 bits,circle,circle
168,Quantum Key: 7ee4c696ca7a0be1353eb9bace2e67c604fabcd8bc8d2ae96fade0c16b2fd334,Entropy: 1.27 bits,ellipse,rect
169,Quantum Key: ac30a715fd55bea6e681eab21949532fd4fefbaa7573043c1657be694ff5f7c1,Entropy: 1.22 bits,circle,circle
170,Quantum Key: aa360cb8e1856a73be90bcce0340cb9a0c405f3ea4aa22cba78ebff5842cf256,Entropy: 1.29 bits,circle,circle
171,Quantum Key: 5e63d4d7527a08980ca3b38609a6f02a770f8c01f5696a499f0484ef59c4544a,Entropy: 1.29 bits,ellipse,ellipse
172,Quantum Key: ff3252a3246b79d44618b1c4f3dca4707567bf4690ff95464d8fbdeaa39f6e9c,Entropy: 1.38 bits,ellipse,circle
173,Quantum Key: 8e8f13bfabf683de0dc37ac981cfc0c892c6f63c121e7494f55b47661369f09f,Entropy: 1.01 bits,rect,ellipse
174,Quantum Key: daa3c00803e0607d5d175f780a409e3df4984b9f2c9852901cfa823ef949524a,Entropy: 1.36 bits,circle,rect
175,Quantum Key: f505e93d7e7dc264d73284ca561bef0c0c168c9a91a9bdf4580478eaf915ec12,Entropy: 1.38 bits,rect,rect
176,Quantum Key: 5b9e766eb921a02bd599fa61f9becf1ee8ba0770cbfc625b694c7727862e2a43,Entropy: 1.19 bits,rect,rect
177,Quantum Key: 3146575bbb094c5a0781a72be56cd0fb285370be289fedcc2107938ab3f05262,Entropy: 1.23 bits,circle,ellipse
178,Quantum Key: d4622b5310ed7b734ff3c2802384a68672dac068a7a4950f085a63a0eebc0979,Entropy: 1.26 bits,ellipse,rect
179,Quantum Key: 752240953e147a6a67337e3e62ea07cc112a16e7eb169b5d74cfe2d8fac0563e,Entropy: 1.20 bits,rect,circle
180,Quantum Key: e1aaa605fb9c5ddb3931fb54878724e098bfd9bde7cf16097762ec5139fb3ba0,Entropy: 1.20 bits,circle,ellipse
181,Quantum Key: 2746ca24f3daff4d569dc758eed35e987c6d3c8a981212ea7acc01456149b00e,Entropy: 1.41 bits,ellipse,rect
182,Quantum Key: 365a0929df89e3a7d6eab75abe07a1644dc96ed45531a0988e57abda3cd03e08,Entropy: 1.36 bits,ellipse,rect
183,Quantum Key: d100511ecb41bfcf4f6778672136353486c21ab6cde64d803a52a1ca196ec153,Entropy: 1.29 bits,ellipse,circle
184,Quantum Key: d24e7e39622ead86c5824ba8fa1e6de627911764422a65485d6af779c4614edf,Entropy: 1.24 bits,rect,circle
185,Quantum Key: 116d17a76b5e25498cf3299d58fb4f2e31feb727938bf2e92157674cdfcea939,Entropy: 1.07 bits,ellipse,rect
186,Quantum Key: de2fea614c9b94a3510f8f3ace4a6a0aa3cdeed558ae40e17f06e1a9ddf7c481,Entropy: 1.23 bits,circle,rect
187,Quantum Key: 9f6b1eb07b155e5b1806d38c66898f57767ebc78b74a93bed2b7b4037e0973af,Entropy: 1.18 bits,circle,circle
188,Quantum Key: b4cdcb2054cfd7867b25dfdca319ae7144bd306d2cb09558b2a0c41e2af6da94,Entropy: 1.24 bits,rect,rect
189,Quantum Key: 2dc6674e1aef8692b19661db439554b19d6820a60bfe7cac2c274459c424c12f,Entropy: 1.27 bits,rect,ellipse
190,Quantum Key: 331c5a30ab85ca14b4d6c5a37797fdc63e02d242536a9489a5eeaaf63668d371,Entropy: 1.31 bits,ellipse,rect
191,Quantum Key: cece25e0267ee2f085f0a3e20eb0563a47c8a54ef0e58ff4798640a18bcdac7b,Entropy: 1.23 bits,ellipse,ellipse
