ID,Key Generated,Entropy Value,Basis Kind
44,Quantum Key: 8bfec1679b6b9dd104100ccc86822c4a1e78ac5b983dd2b2b6342085f81bfcb1,Entropy: 2.11 bits,circle
45,Quantum Key: 67c055a68bb05c8e3c9e45385ed0d675019227af5cc6a26a5b81be670fbb89bb,Entropy: 1.78 bits,ellipse
46,Quantum Key: 07a97657122a7a145846a399c5d2b3daa20e43d5a8cc0ea144e214341463e574,Entropy: 2.10 bits,rect
47,Quantum Key: 1c96aca3af1f5bd10a2766890d6d829a847a6763face276fb67de9411978883e,Entropy: 1.82 bits,rect
48,Quantum Key: 97f85e40ed7314b7147e3590eb9cb2826168296bb3bcf047e4666ea562677042,Entropy: 1.80 bits,circle
49,Quantum Key: f8779ecb5de87519336784d9816f27b4b15f918b75f5c34cad0a2b65cbd3ebc9,Entropy: 1.74 bits,circle
50,Quantum Key: 3f754809053b2d80211c40f1c0db598955fb8f0a520877cb8bc94a5069ddedcf,Entropy: 1.81 bits,circle
51,Quantum Key: 21ef908850a3ff235efa3633e4ff7a1c78da5dc2e631a202849bf7bd113d824f,Entropy: 2.01 bits,ellipse
52,Quantum Key: 24e93cc78d2f8641aae6dad0b49e1bd6fdb2d16a9e14c634e8186703761ef18e,Entropy: 1.82 bits,rect
53,Quantum Key: bf482b8214aa00e3ab870a502b21fed2cc1be55906253c34795e5cd0d9341333,Entropy: 1.83 bits,circle
54,Quantum Key: d5f1f23c07524adb4118db62cd7cf1db09c5596f281177b0936f9a0d5d08e7b4,Entropy: 1.79 bits,circle
55,Quantum Key: c750e57eb3e9e16ffaf76f6f73eea2e4aa0f0e5c2b5a3738958399dda58cd2e5,Entropy: 1.91 bits,rect
56,Quantum Key: 1373603dc63138a26b806d8ffeb1fe1bece3fb671ae7a10ace4dc641ed4c1859,Entropy: 1.94 bits,circle
57,Quantum Key: 162ab6edc8a50a9f83cdfb962a1fa9db64f199f44d8e94f53812f5f401a42ac5,Entropy: 2.05 bits,ellipse
58,Quantum Key: 2321d31d0e69bc7a25a3cb0b367de3f84db664b3a9d02ec9b02ba8bcd59fbbeb,Entropy: 2.08 bits,circle
59,Quantum Key: 008d8a68b4c635aa4147cfb62c1eb14976ac751540b00f645a45370eace46102,Entropy: 1.78 bits,rect
60,Quantum Key: cba5a4ee4f28f801e3a58fd983a01bf329b6600ba9ddacdfe9229b9c0778d0d0,Entropy: 1.83 bits,ellipse
61,Quantum Key: be400a6d0405eec595ddef0f6a647f506bbe767481d76dbe2d08a22e614eb078,Entropy: 1.88 bits,rect
62,Quantum Key: 035e8c591643d56f57d37edf8cfae30a1313052e087a476758f439e53142f3b6,Entropy: 1.88 bits,ellipse
63,Quantum Key: 4556367f94cdc7554d30bd97acc3c131c3ec179f67d1e4942b86b25ef2f41549,Entropy: 1.74 bits,circle
64,Quantum Key: 73e734f61c45dc24d81d68c5ae2459b826c4214ea60c2f7e99e278709da7f29e,Entropy: 1.98 bits,rect
65,Quantum Key: cf130dbb447d5b9bc0250756b67c3837865c218635220b795c19dea7357b50f5,Entropy: 1.86 bits,rect
66,Quantum Key: b0c764e16ef96ef9025b8d18d4cd82981f43e3d0b93b343892875e3ded2b30f7,Entropy: 1.74 bits,circle
67,Quantum Key: b8bd821eed8057305fe444e6431bed9e7d686db65710b8e671dcfb51f4bafe24,Entropy: 1.94 bits,ellipse
68,Quantum Key: 9fc91013b2aa15ff7b81d176a49141d4a7abde1993862922deb84b8d981616d8,Entropy: 1.87 bits,circle
69,Quantum Key: dcc58f5827732546f576f222b7a62ad50e32a816981630a9de8328252179ac84,Entropy: 1.79 bits,ellipse
70,Quantum Key: b4c38db323241f5776534eddd5809d6f968fda0487aecd6788c3fef4b8d118e9,Entropy: 1.74 bits,circle
71,Quantum Key: a0897729ecb608ca505fdad42cc00c2ab985090d1509f56c56cb2381f8b05e7c,Entropy: 1.98 bits,circle
72,Quantum Key: ce56a350decfebc91183409a724245babb265f99de12fdc19f36d4f686774028,Entropy: 2.03 bits,rect
73,Quantum Key: d4613bb93b183adba8ac6d090e947c738465ce97c45b70543fb4209cbe1f868e,Entropy: 1.83 bits,circle
74,Quantum Key: d20c6a621ed99cb103b6a254816c7725a5e246892cc713a6c46e899fe6700534,Entropy: 1.95 bits,rect
75,Quantum Key: f24a11c52b1f25bdefcd5416d6221c3e6be5916a42530f57d03b6cbd9ce0972e,Entropy: 1.90 bits,rect
76,Quantum Key: 49c2372105bc09f32298679d13baa694a62b1b71bfb2cbc0fa30990a6b883d75,Entropy: 2.00 bits,rect
77,Quantum Key: 8f474d357a3c7a20c12b96d491b4892dfad6b9a0a16991fe4b63ed719a333d6d,Entropy: 1.88 bits,ellipse
78,Quantum Key: c6e5f9992230a67f7962a781b24dcb0938934b740efd6812f66327266f3d0eec,Entropy: 2.03 bits,rect
79,Quantum Key: baf676520e2c559f15f6c9ce035b135c17e85a19576929533447cc866a42035d,Entropy: 2.07 bits,rect
80,Quantum Key: 8e9e847fd6f8cfe4e251dea1809600cae1f8a927eb57a31ec074c16fc7e3aaf9,Entropy: 1.76 bits,rect
81,Quantum Key: 0089df655711c3f9a3319a47d6a11f5fdf3ecc48ca5ffc6ff961f523d04ed425,Entropy: 2.07 bits,rect
82,Quantum Key: c6650c32c4569880da2eed268d2386599f3001c8f175313d8ccf21b14685fae1,Entropy: 1.99 bits,circle
83,Quantum Key: 3926c95388b1942a51160287519d314bb1a4d52234eafa83313eb3e30b74b4ef,Entropy: 2.06 bits,rect
84,Quantum Key: be94245d793d57a4f3bde21f6fa3abd843386f7211d05f4594b0af190352dcc6,Entropy: 1.84 bits,ellipse
85,Quantum Key: 47dbc7342898e29c3c1ac1540a167dfcb3ee2ae9971a26d22443f120f661414b,Entropy: 2.03 bits,circle
86,Quantum Key: 6da8a0efb068f7ec3f1a13f560362d6e4b6f037df0433a9070137d3f3896e229,Entropy: 1.93 bits,ellipse
87,Quantum Key: cd3ee4460f4b71c5697cf347342530635a10f084bc9d6faaa486d3f19b986c6b,Entropy: 1.86 bits,ellipse
88,Quantum Key: 37526e2fa1cee9eb077855a3b73c749406e309617a19b055ab3d4c8fc9b8c7ae,Entropy: 2.00 bits,circle
89,Quantum Key: 1a02bd250461e200613ddec80397fda37798f3e24f01a29eac84957d58ec4f80,Entropy: 1.93 bits,ellipse
90,Quantum Key: ba7f6dd0a1741f18c9af8d2efff0cde2493b9681af5a5947f203dea3aa5b325b,Entropy: 1.88 bits,ellipse
91,Quantum Key: aa91ceb5581574b595a8bd3eadf31e52dd2d3a844da959b0168408ed7eecce03,Entropy: 2.10 bits,ellipse
92,Quantum Key: 3b5e088044719a9ad94761b199381ebd90cfaedb593f9e5af05b52ed5499037c,Entropy: 2.06 bits,circle
93,Quantum Key: 2425a02b2548ae917de37141994b100f578935200a21127a5cb09b587b758b54,Entropy: 1.89 bits,rect
94,Quantum Key: 9e24a3b7be1fe0177eb3d5212652cc9ef6b306c6addb5d597f85bde6c3e8e71d,Entropy: 1.82 bits,circle
95,Quantum Key: 160d68d3ffd0c51809b279e75c4b5c01f7e27c832a869ab8f274db33999e060c,Entropy: 2.08 bits,rect
96,Quantum Key: ad1c161b12900d744ceca306d80ac0feca7287e66bebcb4873b89437f8d9ba86,Entropy: 1.89 bits,circle
97,Quantum Key: 1b0368ef9fa2a6fd8eafbad131012b7b58c76765a635ef594805acab94128e47,Entropy: 2.04 bits,ellipse
98,Quantum Key: fd0dc5447a913ea50ce6890c6d30961267b8f2f5076a217edcd46cef7f486e10,Entropy: 2.05 bits,ellipse
99,Quantum Key: 5d9781b6f36f4253f24f5eb6f1ecab414f6255a146181fb6a9fdbee0ac89d478,Entropy: 1.89 bits,rect
100,Quantum Key: 94ac075a37664b4b6dcd313a4218cfaae191413c1ff61a5108f3e058468ea4d0,Entropy: 2.00 bits,circle
101,Quantum Key: 27da8f297bf26e9b8def69e93ee12f9247674f6c5a78f81e75d6fd042e51348f,Entropy: 1.95 bits,ellipse
102,Quantum Key: a8304992591af8d2093823eb55af0429f391e638bfd8593adfa91f8d075021b2,Entropy: 2.02 bits,circle
103,Quantum Key: 95773d4583fd778d7d34533c3b037124a733eb8568230521c39ee1334bb3f09f,Entropy: 1.85 bits,rect
104,Quantum Key: 7a34ab4c6db422e616d0d811d6f30b827cac59445665f9dc26e66f4edfdc4382,Entropy: 1.99 bits,circle
105,Quantum Key: cf3ba0fd8dd934b240a7e4869f39fb29928500c3a39f366eb5f545ade84681c7,Entropy: 1.98 bits,rect
106,Quantum Key: 77404de9c81e8e7473854f2d10dfd26ced3fb6dff10c9e95123caa2711c03ffb,Entropy: 2.07 bits,rect
107,Quantum Key: 66d7fea1e8c837fd4623f1020d0a5ed03507a6d2b4a05620425b3252e11139f0,Entropy: 2.04 bits,rect
108,Quantum Key: 466dc944cb7c1671967a57d6bd2495be1edfff484b84053352863de9a4f6fa67,Entropy: 2.01 bits,rect
109,Quantum Key: ee3298f70fed222bd741682e074bf3550c047415738704d4659526f3fbdd0bb1,Entropy: 2.05 bits,circle
110,Quantum Key: 66467756d6370a11b487a20cededea693e651b6f194ed356ad192c99982d578c,Entropy: 1.87 bits,circle
111,Quantum Key: af72cbe34d8b57bf9a4bf70014d187911666801f14dbb1836b03127f5b58a8b1,Entropy: 2.08 bits,rect
112,Quantum Key: 13dcd72b5fa5e1537906ee6a1f42428bfde0ffdb2a45d9a47767db13025710d0,Entropy: 1.77 bits,ellipse
113,Quantum Key: 276537f6ff4013e8aa044116f690c4dd398b3ba6544e4ec33797e8784151eaf5,Entropy: 1.96 bits,ellipse
114,Quantum Key: a910e4e3ebba94a43ac95696c1337a8f9c6c2d96cdb39eb54f26bb07c818d03a,Entropy: 1.93 bits,circle
115,Quantum Key: ad2eb2595881feed09262a5e2c428804ba88eff56a0dd96f838c6f121f17aae8,Entropy: 2.03 bits,ellipse
116,Quantum Key: 50de52a533dd3e31100d1674e183b74ae8328f1b4e420847af090d5b27fc246e,Entropy: 2.10 bits,ellipse
117,Quantum Key: e6b0147e756f86cc1728cdfd85ad4b278c2362f8572d699262bb1eb7c14de10e,Entropy: 2.01 bits,rect
118,Quantum Key: 44a632b3265715ea5296239fc1590225db51d01cdb0ba1d4aa898fa60ce970b7,Entropy: 2.00 bits,rect
119,Quantum Key: fca161bc6e9925ca006649462ed8d98bd05482aad7f17804f300816a2e698047,Entropy: 1.76 bits,circle
120,Quantum Key: 49764cff392c02d0538be6d19521de43ceef26ac64c2d164fe2b69027461acd7,Entropy: 2.02 bits,rect
121,Quantum Key: 858eac1361f8ee283798b00ad6ac4a1c9d69bab1a897bbf5dec837552268b5f9,Entropy: 1.96 bits,circle
122,Quantum Key: a83bef953a43f5a621ba672479f5f1cfa0fe1c1f1f2f6264db6d5ae69a577a79,Entropy: 1.96 bits,circle
123,Quantum Key: 8f96388eeba2f63503ba7bf3f707aad711cd149e3de24f52432c655813d55cea,Entropy: 2.04 bits,circle
124,Quantum Key: ffd3bf52dd50d544858cf1bfe1d73033813f1ac6b61f20affbd6f368e79eebc6,Entropy: 2.00 bits,ellipse
125,Quantum Key: 0e0485c5f41b0a264adecddc2706580f78a555d4e9b548f8c995c165c4f05acc,Entropy: 1.97 bits,circle
126,Quantum Key: d91e3cd23886da1a6ca75c9f28e39c061535475d2b06a862225d7f0f41061eba,Entropy: 1.88 bits,ellipse
127,Quantum Key: 56d3103ee4981c15805ffd489c3fc517fb31bf70c21a0856953bfe3aa1b9dae3,Entropy: 2.04 bits,circle
128,Quantum Key: b2eeeca55578133ac27282278a70021ca90717c76618b149445301f14011ba1d,Entropy: 1.93 bits,ellipse
129,Quantum Key: 10b760db485e7fba6b55bb1e038190262044b94e1a590c7571ee133af3c50f3a,Entropy: 2.00 bits,circle
130,Quantum Key: 34f9435198c058881f67e94e66ab0a3f622df383fcfbee29b0f8955809489f89,Entropy: 1.96 bits,ellipse
131,Quantum Key: 3a9c2f89faed7d29ef8b62224bcb9ba4a97452b5410eaa7ff43cd4a53d9f78dd,Entropy: 2.09 bits,ellipse
132,Quantum Key: 1b648460fa0e5705bed8e35e154f7a37517e21d12d8587bc4820a81d28da8a22,Entropy: 1.97 bits,ellipse
133,Quantum Key: d0da1703cd5b03b328f206235a40a06e1f07c11bccfc1606b344497cb3e7ec76,Entropy: 2.15 bits,ellipse
134,Quantum Key: fbf0018a5e4bf6d8f952e1fc620a556507a50e27cbf98b47bf084b406088583f,Entropy: 1.91 bits,circle
135,Quantum Key: ffda2b03a0ab7de58ee33f75db642b6c01aa45536adc5a6b749a74204246b68c,Entropy: 1.96 bits,circle
136,Quantum Key: 1e0d8c7f35fa50d801399fad8e3e1c3f721168e407fef13aacedcd0b85077c24,Entropy: 1.98 bits,circle
137,Quantum Key: c71c0f92649126e0646a0062101fe41d8cafcdcae210f594287b956b69a91f9b,Entropy: 1.99 bits,rect
138,Quantum Key: f4a30f08bd50e14221bd9d75cc2e82e7d88a888b44184d7a1305aad9b43d64d2,Entropy: 1.99 bits,circle
139,Quantum Key: f8434d41a20d0d108a5958654a172be907e0233f51bedcb8bbc75fd342308b0b,Entropy: 1.95 bits,rect
140,Quantum Key: 5649b96600c4a4ffa9f2a1628765bb7db858aaf9e89d93b36faa2496e5515edb,Entropy: 2.02 bits,ellipse
141,Quantum Key: 3cfdb8979f47aee6debe9ef849a1eec5dde085ea1605cbd98bfced1119ab355b,Entropy: 2.02 bits,circle
142,Quantum Key: 7be85fefade7249d1db056fa8704998420dcc1515a83847527aa1d0ed37fd4f6,Entropy: 2.07 bits,rect
143,Quantum Key: 1bb1c7470248f1d38ab6a0e52f769ce6afb64a7ca7278a77b5e5022d92275b5d,Entropy: 1.92 bits,ellipse
144,Quantum Key: fe095c5f58011a02eec22816d53671f6ef919b40a76b0c23fe3075de02d1e7ab,Entropy: 1.99 bits,rect
145,Quantum Key: 0268cb06622fabb04ec9648f23b42edc45ee9c13076cefb9e9edededf1b3eeeb,Entropy: 2.05 bits,circle
146,Quantum Key: 451f33087d122469dedd7630b2afb7e0e91cff1049e117e5ce3193b382dba2ad,Entropy: 1.93 bits,ellipse
147,Quantum Key: ac3cf478e8c2253939fc99fb40843122bd24a0817e32f8fdf147e3427adbc322,Entropy: 1.99 bits,rect
148,Quantum Key: 31188fe351bd94e046e7d01456e976f2194f027e64c0d626d87cefa4be61d9b7,Entropy: 1.93 bits,rect
149,Quantum Key: f316c0b2ad73f5b3be78343025c5063b5d2a94f1bbcb675c83be41c4b236dda8,Entropy: 1.94 bits,ellipse
150,Quantum Key: 9b95ed94e38bea08e65483c275db0333b862a5ef9215a4851db861b49b02a6f2,Entropy: 1.95 bits,circle
151,Quantum Key: 5575e7526b68ecf232d06fdbcf0438030f06314c8af81e1bf5526497429449fd,Entropy: 2.08 bits,circle
152,Quantum Key: 386040c8a29649f1e09797b8badb608506c351086d81a4e82d1c504beda79e42,Entropy: 2.06 bits,ellipse
153,Quantum Key: 0af4a54f51b06cc123f9f56e002e65bd12c9b3a49e40998542932e7a42578a34,Entropy: 1.98 bits,ellipse
154,Quantum Key: 99af30d2205c20d338f8986916ccddfd23c405911694799f29a62c51269dc092,Entropy: 2.07 bits,ellipse
155,Quantum Key: 90fe828ce10b70ffd8d97b701b8af84edde7fc2bf1bdf84c317bcef4749f6cf2,Entropy: 1.97 bits,circle
156,Quantum Key: a32e17936c4d4e99c09a0caa0555ce4ab964fe51e763ae6eddcc8596c2ed3929,Entropy: 1.98 bits,circle
157,Quantum Key: 87cd79d57861d4af3a9a0654a84b56ed34c1cd0fd53f509425b1661fdd6cde2a,Entropy: 1.98 bits,rect
158,Quantum Key: a3849984171cb1f254a1189160a60903024a1068a51a018f52b13d3c21691100,Entropy: 1.89 bits,circle
159,Quantum Key: 9eced1b54cfed811fbda9ad359a387ff3470bc66ab46042e3616427fa1f2f1ba,Entropy: 1.96 bits,circle
160,Quantum Key: 06408d615a2d656b1bef37c60d17b8e3a5f72e6d530cc52a35be44029a5e026a,Entropy: 1.96 bits,circle
161,Quantum Key: 98240abeaa9e7345d0c66b819a2b7197aa10c889ef9dcee7ab93a5077253b56b,Entropy: 2.02 bits,circle
162,Quantum Key: 5d417fd9f8732dcac69df057699c325732e718898b692220a221b5cc1addc5a5,Entropy: 1.98 bits,circle
163,Quantum Key: 9e6bf3c2ac9086b72e90fb4ef5dc880e4ae6992272a6ea26e8979a84b6ee288d,Entropy: 1.84 bits,ellipse
164,Quantum Key: e52267562a315f85e8939f21adaad7e32b8ec5be755a16e9a3230f9efd130450,Entropy: 2.04 bits,circle
165,Quantum Key: 23058e6a58f6f1b1bbd86a632aa4ba458c5f6e529a265a3107aa2a04494288e3,Entropy: 2.00 bits,rect
166,Quantum Key: 3ec791d7d9acb103e6278cac466d57e1217baffbd0bacad2953d4b4b051d61c2,Entropy: 1.97 bits,rect
167,Quantum Key: d51d12dc6db5a81111a6989608d06ce5577f42b8b93c7fef57040e5572dd8f97,Entropy: 1.82 bits,circle
168,Quantum Key: 9cfaec7454883080ed7b72a484454d761183622cba2a0ffa46c60dbfcd06daa3,Entropy: 1.95 bits,circle
169,Quantum Key: 9d264b47e017a7bc0eeabdcde050e3071f7775345bc82620337dd5230c54f571,Entropy: 1.89 bits,ellipse
170,Quantum Key: 7939e29c7c68b94c92cb43b2f5cf0de10d0539f6229d8b3e06bcad9b302525a9,Entropy: 2.05 bits,circle
171,Quantum Key: e1df3541f1b633fffc919cac36416fda3affefbf2e2f0e8233f35f59eac7ea6a,Entropy: 1.98 bits,rect
172,Quantum Key: 4b8a1d41026796d3fc1c4af767baab08f3b71b880312a89331615404efd7cfff,Entropy: 1.89 bits,rect
173,Quantum Key: 61013c5d13f8f41974968cce4c75ebfc7471d5704cac2080c5aa45160c3df303,Entropy: 1.98 bits,circle
174,Quantum Key: 242f269f8630b92084394df9114cfec0cdc06b7d04818f185c340aaa24ccf1c5,Entropy: 2.00 bits,circle
175,Quantum Key: e7294c55e43fdc7e71534a380cab15e279c0fcb9801a548a08faf99ea7cb4e10,Entropy: 2.00 bits,ellipse
176,Quantum Key: 8b20cd333949752483eab2a72826a284fbe494053f7ee9488491ecb44ca18ea5,Entropy: 1.99 bits,rect
177,Quantum Key: 5de73f9b7503b119a826e26d292a441c5bef6ebc0d5ffeebd8f38ba66b6183b0,Entropy: 1.98 bits,rect
178,Quantum Key: 6cb5c9d4941e01c9ad77fbb7d266b1e003b0b8148b0f294a762f90f4b186935b,Entropy: 1.92 bits,circle
179,Quantum Key: 5e8abee28fee7a04ed6a712c65956e8c9427b6774175e960dd626b776ebe5fb4,Entropy: 2.00 bits,ellipse
180,Quantum Key: 483e1c72160ca4a67be6d5f5123b25908eb78232d8f3c9ce1455199f6338d4f2,Entropy: 1.94 bits,rect
181,Quantum Key: fe84f6d3ba60fc3da918f513ac3c8e3a2221cda8c26fde42d2683fdb3d7934a6,Entropy: 2.00 bits,ellipse
182,Quantum Key: 4a4413939b729e8f6d124d86f1ebed075756648602d8e1420d3761682774e41f,Entropy: 2.02 bits,rect
183,Quantum Key: 10d6b0a429af91ad05a9f32419f945424794e7eabedad4c551ee9deb22309572,Entropy: 2.08 bits,rect
184,Quantum Key: 12ee4ff52aacb2562f4afe8578668d9a23cd8947674a3c085f6d19b25f29a686,Entropy: 2.00 bits,rect
185,Quantum Key: c6ae2fd67eed4b3d6124f948ae5ee1cc7e18ccdc92bd9567ab28d0ccfbc27aa6,Entropy: 2.01 bits,rect
186,Quantum Key: 1fe3021d00a95e688efdb273cfcd4cadeec28d41bacad0420f17263b6d196863,Entropy: 2.01 bits,circle
187,Quantum Key: 0cb6f9dd24f6cbb09670ed6c076edda50891cca25170c4ec8050cdc9122d80c8,Entropy: 1.97 bits,rect
188,Quantum Key: 4fbceaf6791dcdf6d20ea72bcaecf352075810b154eb16c1ae2c4b25d9e8b9b7,Entropy: 2.02 bits,rect
189,Quantum Key: 91e47e38bf2bdfe55ca8df6a92e3bf12754963b571f1d6068b73d1f010252855,Entropy: 1.95 bits,rect
190,Quantum Key: 801ffb092e6a9598152423ea90d6781be83f5fb5c1f78a9c9fd9470eedc283fd,Entropy: 1.92 bits,rect
191,Quantum Key: c425c34d798831151cc872d63fe338bb6052385f969c9b9f93cd8582a0151fe2,Entropy: 2.01 bits,ellipse
192,Quantum Key: 0722344e54118529568138f10b37caa679057f16287780541ea5438bf62d6436,Entropy: 2.02 bits,ellipse
193,Quantum Key: 9e4a1c8db6ae283f10351790c64abbff94dad06fb72d4de8081304395babe85f,Entropy: 2.01 bits,ellipse
194,Quantum Key: ee4f581fbab7a949e723940beae721e8d3e0adc9df76178c019996022c537495,Entropy: 2.08 bits,rect
195,Quantum Key: 226710147b8f89b7f338ee4a4c6ee94009a0dc5dd3165964393a4bf30e860458,Entropy: 2.01 bits,rect
196,Quantum Key: 387cfe7e049953a5576d0820c7e79a6cd3c97d944dccb724946b4ee9422b2f38,Entropy: 1.94 bits,rect
197,Quantum Key: 3c66248fbc06f65d344880e021528e71578e828f846dad8641b6b82cccbb2edc,Entropy: 1.99 bits,ellipse
198,Quantum Key: 4b3158020b7d321095165a92c015186c7e7b6f3e3b2967f3a454146fbcbdc4ea,Entropy: 2.03 bits,rect
199,Quantum Key: 93b03831af5a1cc891c8c4255129861f7b4bb62333b8772ed5ab334790cb8aeb,Entropy: 1.99 bits,ellipse
200,Quantum Key: 39edbd8085879b78fa38478ebc4e78278122d31426bb0150d7f9ce49a986bdbe,Entropy: 2.02 bits,circle
201,Quantum Key: dff1f74018ab518bb701b5becb044c2c0d179b000a1a402e2ac406ba9498b25f,Entropy: 1.97 bits,circle
202,Quantum Key: 2cfd5723ae3908d1ca7ec983c3cf58dff1309c84cbc4c2cc9d4ca291687d716d,Entropy: 2.05 bits,rect
